size,time
801,0.0004959
802,0.0005389
803,0.0006459
804,0.0007633
805,0.000837
806,0.000562
807,0.0005544
808,0.0008446
809,0.0007173
810,0.000952
811,0.000976
812,0.0005659
813,0.0006918
814,0.0007187
815,0.0005236
816,0.0008588
817,0.0006619
818,0.0006446
819,0.000974
820,0.0007608
821,0.0007718
822,0.0005261
823,0.0009669
824,0.0006182
825,0.0007356
826,0.0009313
827,0.000517
828,0.0008026
829,0.0006292
830,0.0005823
831,0.0009665
832,0.0007639
833,0.0008249
834,0.0008386
835,0.000866
836,0.0006427
837,0.0006376
838,0.0007006
839,0.0008013
840,0.0010313
841,0.0008149
842,0.0008794
843,0.0006284
844,0.0009584
845,0.0007784
846,0.000917
847,0.000559
848,0.0007844
849,0.0008662
850,0.0005739
851,0.000605
852,0.0010265
853,0.0006527
854,0.0006496
855,0.0011483
856,0.0008142
857,0.0010472
858,0.0009328
859,0.0006122
860,0.0006974
861,0.0007826
862,0.0005758
863,0.0007049
864,0.0007154
865,0.000587
866,0.0010223
867,0.0006376
868,0.0008099
869,0.0008582
870,0.000669
871,0.0008372
872,0.0008651
873,0.0007128
874,0.0009022
875,0.0009185
876,0.0006392
877,0.0006837
878,0.0010776
879,0.0008507
880,0.0009182
881,0.0020798
882,0.0011527
883,0.0005997
884,0.0009448
885,0.0006691
886,0.0011321
887,0.0005889
888,0.0010063
889,0.0006207
890,0.001136
891,0.0011473
892,0.0012313
893,0.0012752
894,0.0009972
895,0.001071
896,0.0008485
897,0.0010837
898,0.0010205
899,0.001108
900,0.0011612
901,0.0010059
902,0.0008011
903,0.0010872
904,0.0012532
905,0.0009891
906,0.0007661
907,0.0010671
908,0.0013341
909,0.0009474
910,0.0010767
911,0.0007948
912,0.0008705
913,0.0011782
914,0.0008972
915,0.0010772
916,0.0009565
917,0.0010104
918,0.000947
919,0.0012125
920,0.0009516
921,0.0010877
922,0.0008953
923,0.0012796
924,0.0012848
925,0.0011834
926,0.0014589
927,0.0012
928,0.001215
929,0.0010646
930,0.0011724
931,0.0010878
932,0.0007537
933,0.0010542
934,0.000679
935,0.0010706
936,0.0006506
937,0.0011153
938,0.0011148
939,0.0010887
940,0.0012967
941,0.0010319
942,0.0010913
943,0.0011247
944,0.000745
945,0.0012241
946,0.000674
947,0.0014166
948,0.001058
949,0.0006879
950,0.0012091
951,0.0010051
952,0.0009253
953,0.0010623
954,0.0011951
955,0.0011222
956,0.0012714
957,0.0012086
958,0.0011212
959,0.0012835
960,0.0011017
961,0.0011071
962,0.0010982
963,0.0011673
964,0.0009063
965,0.0012209
966,0.0014561
967,0.001134
968,0.0011271
969,0.00099
970,0.0010554
971,0.0008043
972,0.0011612
973,0.0007659
974,0.0011554
975,0.0008096
976,0.0008223
977,0.0012557
978,0.0011709
979,0.0011422
980,0.0008763
981,0.0007621
982,0.0011932
983,0.0012243
984,0.0009751
985,0.0012475
986,0.0011991
987,0.0008878
988,0.0008294
989,0.0012914
990,0.0011251
991,0.0009424
992,0.0013399
993,0.0013498
994,0.0012741
995,0.001357
996,0.0014028
997,0.0014657
998,0.0008127
999,0.0012099
1000,0.0013674
1001,0.0012425
1002,0.0012072
1003,0.0010961
1004,0.0012488
1005,0.0013647
1006,0.0010624
1007,0.0008319
1008,0.0013171
1009,0.0008262
1010,0.001314
1011,0.0013858
1012,0.0008149
1013,0.0011802
1014,0.0011693
1015,0.0011457
1016,0.0013267
1017,0.0013027
1018,0.0008888
1019,0.0012871
1020,0.0014274
1021,0.0009007
1022,0.0011367
1023,0.0014773
1024,0.0014997
1025,0.0012434
1026,0.0015549
1027,0.0008732
1028,0.0014313
1029,0.0009572
1030,0.0008901
1031,0.0014355
1032,0.0009172
1033,0.0009378
1034,0.0008991
1035,0.0013721
1036,0.001071
1037,0.0009112
1038,0.0009731
1039,0.0008514
1040,0.0011314
1041,0.0009407
1042,0.0009824
1043,0.0009282
1044,0.0008942
1045,0.0010199
1046,0.0009025
1047,0.0011273
1048,0.000963
1049,0.0008742
1050,0.0009762
1051,0.0009756
1052,0.0011929
1053,0.0011125
1054,0.0016062
1055,0.0011753
1056,0.0009758
1057,0.0011861
1058,0.0009983
1059,0.0009591
1060,0.0012772
1061,0.0011029
1062,0.0015682
1063,0.0011914
1064,0.0009288
1065,0.0012047
1066,0.0015725
1067,0.0009957
1068,0.0009183
1069,0.001112
1070,0.0009656
1071,0.0009823
1072,0.0012062
1073,0.0011383
1074,0.0010452
1075,0.0009086
1076,0.0011355
1077,0.0015493
1078,0.0011549
1079,0.0011993
1080,0.0012482
1081,0.0013811
1082,0.0014952
1083,0.0014321
1084,0.0010278
1085,0.0015898
1086,0.0015625
1087,0.0009802
1088,0.0014232
1089,0.0011172
1090,0.0009928
1091,0.001202
1092,0.0010092
1093,0.0010234
1094,0.0009736
1095,0.0010728
1096,0.0011798
1097,0.0012313
1098,0.0010233
1099,0.0015696
1100,0.0013385
1101,0.0014706
1102,0.00101
1103,0.000998
1104,0.0010205
1105,0.0010959
1106,0.0012182
1107,0.0011604
1108,0.0010032
1109,0.0012566
1110,0.0009313
1111,0.0010878
1112,0.001004
1113,0.001012
1114,0.0014681
1115,0.001683
1116,0.0010895
1117,0.0019542
1118,0.001852
1119,0.001191
1120,0.0011161
1121,0.0012152
1122,0.001149
1123,0.0012764
1124,0.0018952
1125,0.0010007
1126,0.0011888
1127,0.0011946
1128,0.0012561
1129,0.0017062
1130,0.0010762
1131,0.0011475
1132,0.0015312
1133,0.0010207
1134,0.0010541
1135,0.0010531
1136,0.001208
1137,0.0012542
1138,0.0016336
1139,0.0010559
1140,0.0010869
1141,0.0010559
1142,0.0018369
1143,0.0010556
1144,0.0015204
1145,0.0010329
1146,0.0011338
1147,0.0010143
1148,0.0011225
1149,0.0012405
1150,0.001379
1151,0.0012166
1152,0.0019571
1153,0.0010759
1154,0.0010705
1155,0.0012327
1156,0.0012488
1157,0.0016563
1158,0.0011364
1159,0.0014744
1160,0.001201
1161,0.0013829
1162,0.00112
1163,0.00129
1164,0.0010396
1165,0.0012972
1166,0.001392
1167,0.0011204
1168,0.0016251
1169,0.0016374
1170,0.0013283
1171,0.0011364
1172,0.00246
1173,0.0024509
1174,0.0013186
1175,0.0017954
1176,0.001173
1177,0.0019331
1178,0.0011825
1179,0.001147
1180,0.0013837
1181,0.0013015
1182,0.0015288
1183,0.0012222
1184,0.0014402
1185,0.0013864
1186,0.001412
1187,0.0017106
1188,0.0015588
1189,0.0011178
1190,0.0012823
1191,0.0012177
1192,0.0012666
1193,0.0012313
1194,0.0012252
1195,0.0012253
1196,0.0015408
1197,0.0010628
1198,0.0017809
1199,0.0015833
1200,0.0011761
1201,0.0012148
1202,0.0016409
1203,0.0012106
1204,0.0017488
1205,0.0012223
1206,0.0016216
1207,0.0011493
1208,0.0014487
1209,0.0012006
1210,0.0017104
1211,0.0011738
1212,0.0011734
1213,0.0015258
1214,0.0011494
1215,0.0019114
1216,0.0013107
1217,0.0011948
1218,0.001258
1219,0.0012474
1220,0.0017618
1221,0.0015617
1222,0.0014137
1223,0.0012305
1224,0.001213
1225,0.0016135
1226,0.0018469
1227,0.002049
1228,0.0025099
1229,0.0016879
1230,0.001275
1231,0.0012556
1232,0.0014926
1233,0.0014031
1234,0.0021414
1235,0.001263
1236,0.0014167
1237,0.0016824
1238,0.0018655
1239,0.0016888
1240,0.0012575
1241,0.0016969
1242,0.0012371
1243,0.0013956
1244,0.0014
1245,0.0013758
1246,0.001399
1247,0.0012914
1248,0.0012488
1249,0.0012141
1250,0.0018764
1251,0.0013884
1252,0.0020544
1253,0.0012729
1254,0.0012143
1255,0.0014202
1256,0.0012316
1257,0.0017289
1258,0.0012736
1259,0.0018418
1260,0.0013812
1261,0.0021886
1262,0.0015452
1263,0.001254
1264,0.0013483
1265,0.0017659
1266,0.0015384
1267,0.0014371
1268,0.0022158
1269,0.001332
1270,0.0024053
1271,0.0013157
1272,0.0020222
1273,0.0013928
1274,0.0013772
1275,0.0013788
1276,0.0014101
1277,0.0012978
1278,0.002031
1279,0.0013244
1280,0.0021403
1281,0.0020836
1282,0.0022812
1283,0.0013556
1284,0.0019667
1285,0.0015954
1286,0.0013529
1287,0.0022484
1288,0.0014606
1289,0.0024385
1290,0.0013955
1291,0.0018935
1292,0.0020291
1293,0.0015836
1294,0.0013548
1295,0.0015942
1296,0.001376
1297,0.0017999
1298,0.0018155
1299,0.0015212
1300,0.0014479
1301,0.0014778
1302,0.0014712
1303,0.002189
1304,0.0014542
1305,0.0016648
1306,0.0013441
1307,0.0016031
1308,0.0018167
1309,0.001379
1310,0.0014003
1311,0.0024048
1312,0.0026908
1313,0.0041973
1314,0.0022935
1315,0.0018739
1316,0.0015357
1317,0.0014434
1318,0.001541
1319,0.001366
1320,0.0018145
1321,0.0014504
1322,0.0016967
1323,0.0014739
1324,0.0014847
1325,0.0019267
1326,0.0017764
1327,0.0015941
1328,0.0014645
1329,0.0014167
1330,0.0018861
1331,0.0015556
1332,0.0014628
1333,0.0014808
1334,0.0017239
1335,0.001434
1336,0.0021217
1337,0.0025269
1338,0.0015785
1339,0.0021204
1340,0.0018388
1341,0.0015782
1342,0.0014465
1343,0.0015421
1344,0.0028181
1345,0.0014202
1346,0.0015974
1347,0.0014553
1348,0.0016185
1349,0.00174
1350,0.0017118
1351,0.0018012
1352,0.0019274
1353,0.0015421
1354,0.0018231
1355,0.0022274
1356,0.005238
1357,0.0031579
1358,0.0015434
1359,0.0015024
1360,0.0015616
1361,0.0015126
1362,0.0016394
1363,0.0015322
1364,0.0017442
1365,0.0016797
1366,0.001678
1367,0.0015205
1368,0.0015828
1369,0.001824
1370,0.0015009
1371,0.0015565
1372,0.0019405
1373,0.0016013
1374,0.0015727
1375,0.0016303
1376,0.0015818
1377,0.0015494
1378,0.0016268
1379,0.0019411
1380,0.0025267
1381,0.0017664
1382,0.0025613
1383,0.0016655
1384,0.0017601
1385,0.0018283
1386,0.0016217
1387,0.0017141
1388,0.00171
1389,0.0021716
1390,0.0028539
1391,0.0015214
1392,0.0017073
1393,0.001873
1394,0.0016193
1395,0.0028133
1396,0.0015983
1397,0.0016479
1398,0.0018278
1399,0.0018248
1400,0.0018205
1401,0.0015573
1402,0.0016469
1403,0.0019711
1404,0.001904
1405,0.0022824
1406,0.0016702
1407,0.0027383
1408,0.0029238
1409,0.0027989
1410,0.0022829
1411,0.0016875
1412,0.0016797
1413,0.0017945
1414,0.0020021
1415,0.0017289
1416,0.0016496
1417,0.0016668
1418,0.0022913
1419,0.0015831
1420,0.0017949
1421,0.0024096
1422,0.0017315
1423,0.001669
1424,0.0016866
1425,0.0019531
1426,0.0016735
1427,0.0020567
1428,0.0017635
1429,0.001979
1430,0.0020472
1431,0.0026414
1432,0.002047
1433,0.0017441
1434,0.0021702
1435,0.0017278
1436,0.0017726
1437,0.0018005
1438,0.0024965
1439,0.0020227
1440,0.0019409
1441,0.0017535
1442,0.0016731
1443,0.0016383
1444,0.0031107
1445,0.0019725
1446,0.0018944
1447,0.0018546
1448,0.0017921
1449,0.002161
1450,0.0028204
1451,0.0017487
1452,0.0020924
1453,0.0016779
1454,0.0016929
1455,0.0030264
1456,0.0016945
1457,0.0017268
1458,0.0020471
1459,0.0019267
1460,0.0018629
1461,0.0017666
1462,0.001847
1463,0.0025791
1464,0.0019768
1465,0.0019803
1466,0.0018346
1467,0.0017755
1468,0.0024974
1469,0.0018141
1470,0.0018992
1471,0.0018369
1472,0.0020601
1473,0.0028752
1474,0.0028375
1475,0.0029428
1476,0.0027048
1477,0.0025563
1478,0.002455
1479,0.003149
1480,0.0033437
1481,0.0020959
1482,0.0030417
1483,0.0028626
1484,0.0028515
1485,0.0029146
1486,0.0022251
1487,0.0018134
1488,0.0018521
1489,0.0018602
1490,0.0025117
1491,0.0022331
1492,0.0023641
1493,0.0018452
1494,0.0019707
1495,0.0020415
1496,0.001896
1497,0.002157
1498,0.0019899
1499,0.0021209
1500,0.0020202
1501,0.0022711
1502,0.0028708
1503,0.0020535
1504,0.0019966
1505,0.0020629
1506,0.0019053
1507,0.0025211
1508,0.0020218
1509,0.0018552
1510,0.0022673
1511,0.0021433
1512,0.0020312
1513,0.001867
1514,0.002154
1515,0.002089
1516,0.0020773
1517,0.0019351
1518,0.0030569
1519,0.0019993
1520,0.0018944
1521,0.001908
1522,0.0027809
1523,0.0019406
1524,0.002509
1525,0.0031561
1526,0.0019322
1527,0.001881
1528,0.0021096
1529,0.0023174
1530,0.0020449
1531,0.0021636
1532,0.0025396
1533,0.0019741
1534,0.0027683
1535,0.002044
1536,0.0020497
1537,0.0022226
1538,0.0024046
1539,0.0025126
1540,0.0023874
1541,0.0021908
1542,0.0026629
1543,0.00217
1544,0.0021293
1545,0.0029144
1546,0.0023447
1547,0.0030896
1548,0.0022304
1549,0.0023209
1550,0.0019526
1551,0.0023065
1552,0.0025036
1553,0.0020153
1554,0.0021443
1555,0.0022674
1556,0.0020916
1557,0.0023915
1558,0.0020835
1559,0.0020087
1560,0.0020694
1561,0.0023383
1562,0.0023499
1563,0.0021909
1564,0.0022888
1565,0.0030834
1566,0.0027671
1567,0.0020615
1568,0.0021141
1569,0.0020379
1570,0.0023846
1571,0.0023103
1572,0.0031726
1573,0.0019739
1574,0.0020219
1575,0.0041467
1576,0.0021359
1577,0.0021101
1578,0.0022713
1579,0.0024907
1580,0.002028
1581,0.0027521
1582,0.0027582
1583,0.0023727
1584,0.002271
1585,0.002046
1586,0.0022856
1587,0.0025746
1588,0.0026322
1589,0.0029504
1590,0.0036883
1591,0.0026691
1592,0.0019603
1593,0.002798
1594,0.0024032
1595,0.0020297
1596,0.0020895
1597,0.0020813
1598,0.002218
1599,0.0023423
1600,0.0021172
1601,0.0034139
1602,0.0026044
1603,0.002724
1604,0.0032487
1605,0.0024477
1606,0.0021954
1607,0.0024125
1608,0.0031757
1609,0.0027534
1610,0.0026917
1611,0.0021806
1612,0.0032918
1613,0.0023204
1614,0.0033063
1615,0.0021071
1616,0.0024187
1617,0.0028497
1618,0.0021846
1619,0.0027233
1620,0.0025318
1621,0.0029754
1622,0.0020614
1623,0.002408
1624,0.0025654
1625,0.002252
1626,0.0023017
1627,0.0026821
1628,0.00272
1629,0.0021734
1630,0.0024039
1631,0.0020864
1632,0.0027884
1633,0.0025719
1634,0.002247
1635,0.0024287
1636,0.0023771
1637,0.0023003
1638,0.0027935
1639,0.0024979
1640,0.0023999
1641,0.0022808
1642,0.0025642
1643,0.002851
1644,0.0022584
1645,0.0032499
1646,0.0025354
1647,0.0025161
1648,0.0021437
1649,0.0025545
1650,0.0032011
1651,0.0021698
1652,0.002396
1653,0.0021881
